a,b,groupDegree,partitions
2,2,4,"[ [ 4 ], [ 2, 2 ] ]"
2,3,6,"[ [ 6 ], [ 2, 2, 2 ], [ 4, 2 ] ]"
3,2,6,"[ [ 6 ], [ 4, 2 ] ]"
2,4,8,"[ [ 8 ], [ 2, 2, 2, 2 ], [ 4, 4 ], [ 6, 2 ], [ 4, 2, 2 ] ]"
4,2,8,"[ [ 8 ], [ 4, 4 ], [ 6, 2 ] ]"
3,3,9,"[ [ 9 ], [ 7, 2 ], [ 6, 3 ], [ 4, 4, 1 ], [ 5, 2, 2 ] ]"
2,5,10,"[ [ 10 ], [ 8, 2 ], [ 2, 2, 2, 2, 2 ], [ 6, 4 ], [ 6, 2, 2 ], [ 4, 4, 2 ], [ 4, 2, 2, 2 ] ]"
5,2,10,"[ [ 10 ], [ 8, 2 ], [ 6, 4 ] ]"
2,6,12,"[ [ 12 ], [ 10, 2 ], [ 2, 2, 2, 2, 2, 2 ], [ 6, 6 ], [ 8, 4 ], [ 4, 4, 4 ], [ 8, 2, 2 ], [ 4, 2, 2, 2, 2 ], [ 6, 2, 2, 2 ], [ 4, 4, 2, 2 ], [ 6, 4, 2 ] ]"
6,2,12,"[ [ 12 ], [ 10, 2 ], [ 6, 6 ], [ 8, 4 ] ]"
3,4,12,"[ [ 12 ], [ 10, 2 ], [ 6, 6 ], [ 9, 3 ], [ 8, 4 ], [ 4, 4, 4 ], [ 8, 2, 2 ], [ 7, 4, 1 ], [ 6, 2, 2, 2 ], [ 7, 3, 2 ], [ 6, 4, 2 ], [ 5, 4, 2, 1 ] ]"
4,3,12,"[ [ 12 ], [ 10, 2 ], [ 6, 6 ], [ 9, 3 ], [ 8, 4 ], [ 4, 4, 4 ], [ 8, 2, 2 ], [ 7, 4, 1 ], [ 6, 4, 2 ] ]"
2,7,14,"[ [ 14 ], [ 12, 2 ], [ 2, 2, 2, 2, 2, 2, 2 ], [ 10, 4 ], [ 8, 6 ], [ 10, 2, 2 ], [ 6, 6, 2 ], [ 4, 2, 2, 2, 2, 2 ], [ 8, 2, 2, 2 ], [ 6, 4, 4 ], [ 4, 4, 4, 2 ], [ 8, 4, 2 ], [ 6, 2, 2, 2, 2 ], [ 4, 4, 2, 2, 2 ], [ 6, 4, 2, 2 ] ]"
7,2,14,"[ [ 14 ], [ 12, 2 ], [ 10, 4 ], [ 8, 6 ] ]"
3,5,15,"[ [ 15 ], [ 13, 2 ], [ 12, 3 ], [ 11, 4 ], [ 10, 5 ], [ 11, 2, 2 ], [ 9, 6 ], [ 10, 4, 1 ], [ 10, 3, 2 ], [ 8, 6, 1 ], [ 9, 2, 2, 2 ], [ 6, 6, 3 ], [ 9, 4, 2 ], [ 7, 4, 4 ], [ 7, 6, 2 ], [ 8, 5, 2 ], [ 7, 2, 2, 2, 2 ], [ 8, 4, 3 ], [ 8, 3, 2, 2 ], [ 6, 4, 4, 1 ], [ 5, 4, 4, 2 ], [ 8, 4, 2, 1 ], [ 6, 5, 2, 2 ], [ 7, 5, 2, 1 ], [ 7, 4, 2, 2 ], [ 5, 5, 3, 1, 1 ], [ 7, 4, 3, 1 ], [ 6, 4, 2, 2, 1 ] ]"
5,3,15,"[ [ 15 ], [ 13, 2 ], [ 12, 3 ], [ 11, 4 ], [ 10, 5 ], [ 11, 2, 2 ], [ 9, 6 ], [ 10, 4, 1 ], [ 8, 6, 1 ], [ 6, 6, 3 ], [ 9, 4, 2 ], [ 7, 4, 4 ], [ 8, 5, 2 ] ]"
8,2,16,"[ [ 16 ], [ 14, 2 ], [ 12, 4 ], [ 8, 8 ], [ 10, 6 ] ]"
9,2,18,"[ [ 18 ], [ 16, 2 ], [ 14, 4 ], [ 12, 6 ], [ 10, 8 ] ]"
10,2,20,"[ [ 20 ], [ 18, 2 ], [ 16, 4 ], [ 10, 10 ], [ 14, 6 ], [ 12, 8 ] ]"
